Arrival_Date,Room_Category,Fare_Class,Actual_Showups,Total_Unconstrained_Demand,Simulated_Cancellations
2022-01-01,Deluxe,Y3_Low,2,4,2
2022-01-01,Family,Y2_Medium,3,3,0
2022-01-01,Other,Y1_High,3,3,0
2022-01-01,Other,Y2_Medium,48,49,1
2022-01-01,Other,Y3_Low,17,17,0
2022-01-01,Standard,Y1_High,13,16,3
2022-01-01,Standard,Y2_Medium,10,10,0
2022-01-01,Standard,Y3_Low,15,15,0
2022-01-01,Superior,Y1_High,3,3,0
2022-01-02,Deluxe,Y1_High,2,2,0
2022-01-02,Other,Y1_High,4,4,0
2022-01-02,Other,Y2_Medium,3,4,1
2022-01-02,Standard,Y1_High,21,27,6
2022-01-02,Standard,Y2_Medium,17,17,0
2022-01-02,Standard,Y3_Low,31,32,1
2022-01-02,Superior,Y1_High,2,2,0
2022-01-03,Family,Y1_High,1,1,0
2022-01-03,Other,Y1_High,2,6,4
2022-01-03,Other,Y2_Medium,1,1,0
2022-01-03,Other,Y3_Low,3,3,0
2022-01-03,Standard,Y1_High,7,8,1
2022-01-03,Standard,Y2_Medium,5,5,0
2022-01-03,Standard,Y3_Low,10,15,5
2022-01-03,Superior,Y2_Medium,2,2,0
2022-01-04,Deluxe,Y2_Medium,2,2,0
2022-01-04,Deluxe,Y3_Low,1,2,1
2022-01-04,Family,Y3_Low,2,2,0
2022-01-04,Other,Y1_High,3,5,2
2022-01-04,Other,Y2_Medium,4,6,2
2022-01-04,Standard,Y1_High,31,35,4
2022-01-04,Standard,Y2_Medium,10,10,0
2022-01-04,Standard,Y3_Low,15,19,4
2022-01-05,Other,Y2_Medium,4,5,1
2022-01-05,Other,Y3_Low,2,2,0
2022-01-05,Standard,Y1_High,10,10,0
2022-01-05,Standard,Y2_Medium,7,12,5
2022-01-05,Standard,Y3_Low,8,8,0
2022-01-06,Deluxe,Y3_Low,2,3,1
2022-01-06,Family,Y3_Low,2,4,2
2022-01-06,Other,Y2_Medium,1,1,0
2022-01-06,Other,Y3_Low,4,4,0
2022-01-06,Standard,Y1_High,7,7,0
2022-01-06,Standard,Y2_Medium,7,11,4
2022-01-06,Standard,Y3_Low,17,25,8
2022-01-06,Superior,Y2_Medium,1,1,0
2022-01-07,Family,Y3_Low,2,2,0
2022-01-07,Other,Y1_High,1,2,1
2022-01-07,Other,Y2_Medium,2,2,0
2022-01-07,Other,Y3_Low,1,1,0
2022-01-07,Standard,Y1_High,4,5,1
2022-01-07,Standard,Y2_Medium,1,2,1
2022-01-07,Standard,Y3_Low,7,10,3
2022-01-08,Family,Y3_Low,2,5,3
2022-01-08,Other,Y2_Medium,3,3,0
2022-01-08,Other,Y3_Low,2,2,0
2022-01-08,Standard,Y1_High,6,6,0
2022-01-08,Standard,Y2_Medium,10,12,2
2022-01-08,Standard,Y3_Low,19,24,5
2022-01-09,Other,Y1_High,1,1,0
2022-01-09,Other,Y2_Medium,1,1,0
2022-01-09,Other,Y3_Low,1,3,2
2022-01-09,Standard,Y1_High,6,6,0
2022-01-09,Standard,Y2_Medium,3,6,3
2022-01-09,Standard,Y3_Low,13,18,5
2022-01-09,Superior,Y1_High,1,1,0
2022-01-09,Superior,Y3_Low,2,4,2
2022-01-10,Other,Y1_High,1,1,0
2022-01-10,Other,Y3_Low,3,8,5
2022-01-10,Standard,Y2_Medium,1,1,0
2022-01-10,Standard,Y3_Low,4,7,3
2022-01-11,Other,Y1_High,2,5,3
2022-01-11,Other,Y3_Low,4,12,8
2022-01-11,Standard,Y1_High,1,1,0
2022-01-11,Standard,Y2_Medium,2,2,0
2022-01-11,Standard,Y3_Low,3,4,1
2022-01-12,Deluxe,Y3_Low,1,1,0
2022-01-12,Other,Y3_Low,4,5,1
2022-01-12,Standard,Y1_High,2,2,0
2022-01-12,Standard,Y3_Low,4,4,0
2022-01-12,Superior,Y1_High,1,2,1
2022-01-13,Other,Y1_High,1,1,0
2022-01-13,Other,Y2_Medium,2,2,0
2022-01-13,Other,Y3_Low,4,4,0
2022-01-13,Standard,Y1_High,1,1,0
2022-01-13,Standard,Y2_Medium,4,5,1
2022-01-13,Standard,Y3_Low,12,15,3
2022-01-14,Family,Y2_Medium,2,2,0
2022-01-14,Other,Y3_Low,2,2,0
2022-01-14,Standard,Y1_High,1,1,0
2022-01-14,Standard,Y2_Medium,3,3,0
2022-01-14,Standard,Y3_Low,10,11,1
2022-01-15,Other,Y1_High,1,1,0
2022-01-15,Other,Y2_Medium,1,1,0
2022-01-15,Standard,Y1_High,1,1,0
2022-01-15,Standard,Y2_Medium,1,2,1
2022-01-15,Standard,Y3_Low,12,13,1
2022-01-16,Other,Y1_High,2,3,1
2022-01-16,Other,Y2_Medium,1,1,0
2022-01-16,Other,Y3_Low,2,2,0
2022-01-16,Standard,Y1_High,2,4,2
2022-01-16,Standard,Y2_Medium,1,1,0
2022-01-16,Standard,Y3_Low,8,8,0
2022-01-17,Deluxe,Y3_Low,1,1,0
2022-01-17,Other,Y1_High,1,1,0
2022-01-17,Standard,Y1_High,1,1,0
2022-01-17,Standard,Y2_Medium,1,1,0
2022-01-17,Standard,Y3_Low,7,10,3
2022-01-18,Other,Y2_Medium,1,3,2
2022-01-18,Standard,Y3_Low,8,14,6
2022-01-19,Other,Y1_High,1,1,0
2022-01-19,Other,Y3_Low,2,5,3
2022-01-19,Standard,Y2_Medium,4,6,2
2022-01-19,Standard,Y3_Low,6,6,0
2022-01-20,Standard,Y2_Medium,4,4,0
2022-01-20,Standard,Y3_Low,2,2,0
2022-01-21,Other,Y2_Medium,2,2,0
2022-01-21,Other,Y3_Low,1,2,1
2022-01-21,Standard,Y2_Medium,1,1,0
2022-01-21,Standard,Y3_Low,7,13,6
2022-01-22,Other,Y2_Medium,4,4,0
2022-01-22,Other,Y3_Low,1,1,0
2022-01-22,Standard,Y1_High,2,2,0
2022-01-22,Standard,Y2_Medium,1,2,1
2022-01-22,Standard,Y3_Low,13,25,12
2022-01-23,Other,Y2_Medium,1,1,0
2022-01-23,Other,Y3_Low,3,3,0
2022-01-23,Standard,Y2_Medium,2,2,0
2022-01-23,Standard,Y3_Low,10,17,7
2022-01-24,Standard,Y1_High,1,1,0
2022-01-24,Standard,Y3_Low,5,9,4
2022-01-25,Other,Y1_High,1,1,0
2022-01-25,Other,Y2_Medium,1,3,2
2022-01-25,Other,Y3_Low,3,3,0
2022-01-25,Standard,Y1_High,5,7,2
2022-01-25,Standard,Y3_Low,4,11,7
2022-01-26,Deluxe,Y3_Low,1,1,0
2022-01-26,Other,Y3_Low,2,3,1
2022-01-26,Standard,Y1_High,2,5,3
2022-01-26,Standard,Y2_Medium,3,3,0
2022-01-26,Standard,Y3_Low,2,8,6
2022-01-27,Other,Y3_Low,5,7,2
2022-01-27,Standard,Y1_High,1,1,0
2022-01-27,Standard,Y2_Medium,1,2,1
2022-01-27,Standard,Y3_Low,2,5,3
2022-01-27,Superior,Y2_Medium,1,1,0
2022-01-28,Deluxe,Y2_Medium,2,2,0
2022-01-28,Family,Y3_Low,2,3,1
2022-01-28,Other,Y2_Medium,1,1,0
2022-01-28,Other,Y3_Low,4,4,0
2022-01-28,Standard,Y3_Low,6,11,5
2022-01-29,Family,Y1_High,2,3,1
2022-01-29,Other,Y1_High,1,2,1
2022-01-29,Other,Y2_Medium,1,1,0
2022-01-29,Standard,Y1_High,4,4,0
2022-01-29,Standard,Y2_Medium,5,5,0
2022-01-29,Standard,Y3_Low,17,18,1
2022-01-30,Other,Y2_Medium,1,2,1
2022-01-30,Other,Y3_Low,1,1,0
2022-01-30,Standard,Y1_High,2,2,0
2022-01-30,Standard,Y2_Medium,4,4,0
2022-01-30,Standard,Y3_Low,11,11,0
2022-01-31,Standard,Y1_High,1,1,0
2022-01-31,Standard,Y2_Medium,1,1,0
2022-02-01,Other,Y2_Medium,1,1,0
2022-02-01,Other,Y3_Low,6,6,0
2022-02-01,Standard,Y1_High,2,3,1
2022-02-01,Standard,Y2_Medium,2,3,1
2022-02-01,Standard,Y3_Low,6,7,1
2022-02-02,Other,Y1_High,1,1,0
2022-02-02,Other,Y2_Medium,1,1,0
2022-02-02,Other,Y3_Low,3,3,0
2022-02-02,Standard,Y1_High,4,4,0
2022-02-02,Standard,Y2_Medium,1,1,0
2022-02-02,Standard,Y3_Low,3,3,0
2022-02-03,Other,Y2_Medium,2,3,1
2022-02-03,Standard,Y1_High,3,4,1
2022-02-03,Standard,Y2_Medium,1,1,0
2022-02-03,Standard,Y3_Low,6,7,1
2022-02-04,Family,Y3_Low,2,2,0
2022-02-04,Other,Y1_High,1,1,0
2022-02-04,Other,Y2_Medium,2,2,0
2022-02-04,Other,Y3_Low,20,20,0
2022-02-04,Standard,Y1_High,8,13,5
2022-02-04,Standard,Y2_Medium,1,1,0
2022-02-04,Standard,Y3_Low,9,9,0
2022-02-05,Other,Y1_High,1,1,0
2022-02-05,Other,Y2_Medium,3,3,0
2022-02-05,Other,Y3_Low,2,2,0
2022-02-05,Standard,Y1_High,9,10,1
2022-02-05,Standard,Y2_Medium,6,6,0
2022-02-05,Standard,Y3_Low,27,37,10
2022-02-05,Superior,Y3_Low,1,3,2
2022-02-06,Deluxe,Y3_Low,1,1,0
2022-02-06,Family,Y2_Medium,1,3,2
2022-02-06,Family,Y3_Low,1,2,1
2022-02-06,Other,Y2_Medium,1,1,0
2022-02-06,Other,Y3_Low,3,5,2
2022-02-06,Standard,Y1_High,9,9,0
2022-02-06,Standard,Y2_Medium,1,2,1
2022-02-06,Standard,Y3_Low,11,11,0
2022-02-06,Superior,Y1_High,1,2,1
2022-02-06,Superior,Y3_Low,1,1,0
2022-02-07,Other,Y3_Low,2,3,1
2022-02-07,Standard,Y1_High,2,5,3
2022-02-07,Standard,Y3_Low,3,3,0
2022-02-08,Other,Y1_High,3,5,2
2022-02-08,Other,Y2_Medium,1,1,0
2022-02-08,Other,Y3_Low,1,1,0
2022-02-08,Standard,Y1_High,4,7,3
2022-02-08,Standard,Y2_Medium,1,2,1
2022-02-08,Standard,Y3_Low,20,20,0
2022-02-09,Family,Y3_Low,4,6,2
2022-02-09,Other,Y3_Low,6,9,3
2022-02-09,Standard,Y1_High,14,17,3
2022-02-09,Standard,Y3_Low,5,10,5
2022-02-09,Superior,Y1_High,1,2,1
2022-02-10,Deluxe,Y1_High,1,3,2
2022-02-10,Family,Y2_Medium,1,1,0
2022-02-10,Other,Y1_High,1,1,0
2022-02-10,Other,Y2_Medium,2,2,0
2022-02-10,Other,Y3_Low,9,9,0
2022-02-10,Standard,Y1_High,3,5,2
2022-02-10,Standard,Y2_Medium,3,3,0
2022-02-10,Standard,Y3_Low,6,7,1
2022-02-10,Superior,Y2_Medium,1,1,0
2022-02-10,Superior,Y3_Low,1,1,0
2022-02-11,Deluxe,Y2_Medium,1,1,0
2022-02-11,Family,Y2_Medium,1,2,1
2022-02-11,Family,Y3_Low,2,2,0
2022-02-11,Other,Y1_High,8,8,0
2022-02-11,Other,Y2_Medium,1,1,0
2022-02-11,Other,Y3_Low,11,16,5
2022-02-11,Standard,Y1_High,4,4,0
2022-02-11,Standard,Y2_Medium,4,6,2
2022-02-11,Standard,Y3_Low,16,22,6
2022-02-11,Superior,Y1_High,1,1,0
2022-02-11,Superior,Y3_Low,1,1,0
2022-02-12,Family,Y2_Medium,1,1,0
2022-02-12,Other,Y1_High,6,6,0
2022-02-12,Other,Y2_Medium,2,2,0
2022-02-12,Other,Y3_Low,1,1,0
2022-02-12,Standard,Y1_High,6,8,2
2022-02-12,Standard,Y2_Medium,6,6,0
2022-02-12,Standard,Y3_Low,19,19,0
2022-02-12,Superior,Y1_High,1,2,1
2022-02-12,Superior,Y3_Low,2,2,0
2022-02-13,Deluxe,Y3_Low,1,1,0
2022-02-13,Other,Y1_High,3,4,1
2022-02-13,Other,Y2_Medium,3,4,1
2022-02-13,Other,Y3_Low,12,14,2
2022-02-13,Standard,Y1_High,9,14,5
2022-02-13,Standard,Y2_Medium,3,3,0
2022-02-13,Standard,Y3_Low,17,17,0
2022-02-14,Other,Y1_High,3,3,0
2022-02-14,Other,Y2_Medium,1,3,2
2022-02-14,Other,Y3_Low,6,6,0
2022-02-14,Standard,Y1_High,3,5,2
2022-02-14,Standard,Y2_Medium,4,4,0
2022-02-14,Standard,Y3_Low,11,14,3
2022-02-14,Superior,Y1_High,2,3,1
2022-02-15,Family,Y3_Low,2,2,0
2022-02-15,Other,Y2_Medium,2,2,0
2022-02-15,Other,Y3_Low,14,18,4
2022-02-15,Standard,Y1_High,6,10,4
2022-02-15,Standard,Y2_Medium,1,1,0
2022-02-15,Standard,Y3_Low,13,13,0
2022-02-16,Other,Y1_High,2,2,0
2022-02-16,Other,Y2_Medium,1,1,0
2022-02-16,Other,Y3_Low,12,12,0
2022-02-16,Standard,Y1_High,10,10,0
2022-02-16,Standard,Y2_Medium,4,8,4
